timestamp_ms,iso_time,underlying,expiry,last_price,call_money_flow,put_money_flow,mf_ratio,call_delta_flow,put_delta_flow,df_ratio,call_iv_flow,put_iv_flow,ivf_ratio,call_otm_impact,put_otm_impact,call_itm_impact,put_itm_impact,call_gex,put_gex,net_gex,call_vanna_flow,put_vanna_flow,vanna_ratio,call_charm,put_charm,charm_pressure,call_iv_flow_itm,put_iv_flow_itm,call_iv_flow_otm,put_iv_flow_otm,iv_net,call_vol_imbalance,put_vol_imbalance,vol_imbalance_ratio,call_smart_money,put_smart_money,smart_money_ratio,call_hedge_pressure,put_hedge_pressure,net_hedge_pressure,skew_pressure,skew_intensity,cash_net
1767095837840,2025-12-30T06:57:17,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249094.55,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095838845,2025-12-30T06:57:18,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249094.55,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095839849,2025-12-30T06:57:19,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249092.94,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095840852,2025-12-30T06:57:20,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249092.94,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095841856,2025-12-30T06:57:21,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249136.42,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095842861,2025-12-30T06:57:22,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249136.20,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095843866,2025-12-30T06:57:23,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249141.58,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095844870,2025-12-30T06:57:24,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095845874,2025-12-30T06:57:25,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095846878,2025-12-30T06:57:26,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095847882,2025-12-30T06:57:27,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095848886,2025-12-30T06:57:28,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095849890,2025-12-30T06:57:29,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685759924.26,-5489228.89,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,242877.39,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095850894,2025-12-30T06:57:30,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249119.07,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095851898,2025-12-30T06:57:31,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249135.33,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095852902,2025-12-30T06:57:32,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249135.33,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095853905,2025-12-30T06:57:33,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249135.33,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095854909,2025-12-30T06:57:34,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249135.33,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095855913,2025-12-30T06:57:35,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249172.99,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095856917,2025-12-30T06:57:36,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249172.99,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095857920,2025-12-30T06:57:37,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249172.99,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
1767095858925,2025-12-30T06:57:38,QQQ,2025-12-30,620.8700,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,1680270695.37,-1685389863.88,-5119168.52,0.00,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249172.99,0.00,0.00,0.0000,0.00,0.00,0.0000,0.00,0.00,0.00,-0.00,0.0000,0.00
